Date,Type,Country,Sex,Species
2019-12-03,Unprovoked,USA,M,tiger shark
2019-11-30,Unprovoked,USA,M,blacktip shark
2019-11-30,Unprovoked,AUSTRALIA,M,
2019-11-23,Questionable,AUSTRALIA,M,
2019-11-23,Provoked,MEXICO,M,
2019-11-22,Unprovoked,ISRAEL,M,
2019-11-14,Provoked,FRENCH POLYNESIA,M,blacktip shark
2019-11-12,Unprovoked,USA,M,blacktip shark
2019-11-11,Unprovoked,MEXICO,M,
2019-11-09,Watercraft,SOUTH AFRICA,M,white shark
2019-11-06,Unprovoked,USA,F,white shark
2019-11-02,Questionable,REUNION ISLAND,M,tiger shark
2019-10-29,Unprovoked,AUSTRALIA,M,tiger shark
2019-10-27,Provoked,USA,M,4' to 5' shark
2019-10-25,Unprovoked,USA,M,white shark
2019-10-21,Unprovoked,FRENCH POLYNESIA,F,white shark
2019-10-17,Unprovoked,AUSTRALIA,M,7' shark
2019-10-08,Unprovoked,USA,M,
2019-10-05,Unprovoked,AUSTRALIA,M,white shark
2019-10-05,Watercraft,USA,M,white shark
,Unprovoked,USA,M,juvenile shark
2019-09-28,Provoked,AUSTRALIA,M,1+ m shark
2019-09-26,Unprovoked,USA,F,6' to 7' shark
2019-09-24,Unprovoked,USA,M,
2019-09-24,Unprovoked,USA,M,2' shark
2019-09-18,Unprovoked,USA,,galapagos shark
2019-09-15,Unprovoked,USA,F,
2019-09-07,Unprovoked,AUSTRALIA,M,white shark
2019-08-31,Unprovoked,USA,M,nurse shark
2019-08-31,Unprovoked,USA,M,
2019-08-27,Provoked,USA,M,6.5' shark
2019-08-21,Unprovoked,USA,M,
2019-08-20,Unprovoked,USA,F,
2019-08-16,Unprovoked,FIJI,M,grey reef shark 1.5m
2019-08-16,Unprovoked,USA,M,
2019-08-11,Unprovoked,USA,M,10' to 12' shark
2019-08-04,Unprovoked,USA,M,
2019-08-03,Unprovoked,USA,F,
2019-08-03,Unprovoked,USA,M,
2019-08-03,Unprovoked,USA,M,
2019-07-29,Unprovoked,USA,M,cookiecutter shark
2019-07-30,Provoked,USA,M,blacktip shark
2019-07-29,Unprovoked,USA,M,
2019-07-28,Unprovoked,AUSTRALIA,F,
2019-07-27,Unprovoked,USA,M,
2019-07-27,Unprovoked,USA,M,blacktip shark
2019-07-22,Unprovoked,USA,M,tiger shark
2019-07-18,Unconfirmed,USA,,
,Unprovoked,NEW ZEALAND,M,white shark
2019-07-16,Unprovoked,USA,F,shark pup
2019-07-12,Unprovoked,USA,F,
2019-07-10,Unprovoked,SOUTH AFRICA,M,white shark
2019-07-09,Unprovoked,AUSTRALIA,M,bull shark
2019-07-06,Provoked,MEXICO,M,
2019-07-04,Unprovoked,BAHAMAS,M,
2019-06-30,Unprovoked,USA,M,
2019-06-26,Unprovoked,BAHAMAS,F,
